Cat no.,Description,Colour,Price (Rs.)
C5110 .01,Switch 6A One-way - 1 Module,Frost White,158
C5111 .01,Switch 6A One-way with indicator - 1 Module,Frost White,254
C5210 .01,Switch 6A Two-way  - 1 Module,Frost White,228
C5211 .01,Switch 6A Two-way with indicator - 1 Module,Frost White,351
C5130 .01,Switch 16A One-way - 1 Module,Frost White,271
C5131 .01,Switch 16A One-way with indicator - 1 Module,Frost White,342
C5230 .01,Switch 16A Two-way - 1 Module,Frost White,281
C5231 .01,Switch 16A Two-way with indicator - 1 Module,Frost White,364
C5730 .01,Switch 25A One-way - 1 Module,Frost White,379
C5731 .01,Switch 25A One-way with indicator - 1 Module,Frost White,446
C5310 .01,Switch 6A - Bell - 1 Module,Frost White,235
C5311 .01,Switch 6A - Bell with indicator - 1 Module,Frost White,324
C5140 .01,Palm Switch 6A One-way Single Pole - 2 Module,Frost White,211
C5141 .01,Palm Switch 6A One-way Single Pole with indicator - 2 Module,Frost White,273
C5240 .01,Palm Switch 6A Two-way Single Pole - 2 Module,Frost White,245
C5241 .01,Palm Switch 6A Two-way Single Pole with indicator - 2 Module,Frost White,346
C5160 .01,Palm Switch 16A One-way Single Pole - 2 Module,Frost White,284
C5161 .01,Palm Switch 16A One-way Single Pole with indicator - 2 Module,Frost White,346
C5260 .01,Palm Switch 16A Two-way Single Pole - 2 Module,Frost White,311
C5261 .01,Palm Switch 16A Two-way Single Pole with indicator - 2 Module,Frost White,405
C5180 .01,Palm Switch 6A One-way Double Pole - 2 Module,Frost White,397
C5280 .01,Palm Switch 6A Two-way Double Pole - 2 Module,Frost White,422
C5281 .01,Palm Switch 6A Two-way Double Pole with indicator - 2 Module,Frost White,470
C5191 .01,Palm Switch 16A One-way Double Pole with indicator - 2 Module,Frost White,552
C5291 .01,Palm Switch 16A Two-way Double Pole with indicator - 2 Module,Frost White,657
C5171 .01,Palm Switch 25A One-way Double Pole with indicator - 2 Module,Frost White,660
C5340 .01,Palm Bell Switch Single Pole - 2 Module,Frost White,292
C5341 .01,Palm Bell Switch Single Pole with indicator - 2 Module,Frost White,377
C5441 .01,Switch 16A One-way with ‘Geyser’ Symbol with indicator - 1 Module,Frost White,362
C5431 .01,Switch 6A One-way with ‘Fan’ or ‘Light’ or 'Exhaust' Symbol - 1 Module,Frost White,273
C5110 .02,Switch 6A One-way - 1 Module,Quartz Gray,196
C5111 .02,Switch 6A One-way with indicator - 1 Module,Quartz Gray,324
C5210 .02,Switch 6A Two-way  - 1 Module,Quartz Gray,290
C5211 .02,Switch 6A Two-way with indicator - 1 Module,Quartz Gray,435
C5130 .02,Switch 16A One-way - 1 Module,Quartz Gray,342
C5131 .02,Switch 16A One-way with indicator - 1 Module,Quartz Gray,435
C5230 .02,Switch 16A Two-way - 1 Module,Quartz Gray,356
C5231 .02,Switch 16A Two-way with indicator - 1 Module,Quartz Gray,462
C5730 .02,Switch 25A One-way - 1 Module,Quartz Gray,481
C5731 .02,Switch 25A One-way with indicator - 1 Module,Quartz Gray,556
C5310 .02,Switch 6A - Bell - 1 Module,Quartz Gray,293
C5311 .02,Switch 6A - Bell with indicator - 1 Module,Quartz Gray,411
C5140 .02,Palm Switch 6A One-way Single Pole - 2 Module,Quartz Gray,261
C5141 .02,Palm Switch 6A One-way Single Pole with indicator - 2 Module,Quartz Gray,341
C5240 .02,Palm Switch 6A Two-way Single Pole - 2 Module,Quartz Gray,303
C5241 .02,Palm Switch 6A Two-way Single Pole with indicator - 2 Module,Quartz Gray,430
C5160 .02,Palm Switch 16A One-way Single Pole - 2 Module,Quartz Gray,354
C5161 .02,Palm Switch 16A One-way Single Pole with indicator - 2 Module,Quartz Gray,430
C5260 .02,Palm Switch 16A Two-way Single Pole - 2 Module,Quartz Gray,386
C5261 .02,Palm Switch 16A Two-way Single Pole with indicator - 2 Module,Quartz Gray,504
C5180 .02,Palm Switch 6A One-way Double Pole - 2 Module,Quartz Gray,493
C5280 .02,Palm Switch 6A Two-way Double Pole - 2 Module,Quartz Gray,525
C5281 .02,Palm Switch 6A Two-way Double Pole with indicator - 2 Module,Quartz Gray,583
C5191 .02,Palm Switch 16A One-way Double Pole with indicator - 2 Module,Quartz Gray,687
C5291 .02,Palm Switch 16A Two-way Double Pole with indicator - 2 Module,Quartz Gray,818
C5171 .02,Palm Switch 25A One-way Double Pole with indicator - 2 Module,Quartz Gray,821
C5340 .02,Palm Bell Switch Single Pole - 2 Module,Quartz Gray,364
C5341 .02,Palm Bell Switch Single Pole with indicator - 2 Module,Quartz Gray,467
C5441 .02,Switch 16A One-way with ‘Geyser’ Symbol with indicator - 1 Module,Quartz Gray,449
C5431 .02,Switch 6A One-way with ‘Fan’ or ‘Light’ or 'Exhaust' Symbol - 1 Module,Quartz Gray,341
C5110 .17,Switch 6A One-way - 1 Module,Charcoal Black,214
C5111 .17,Switch 6A One-way with indicator - 1 Module,Charcoal Black,362
C5210 .17,Switch 6A Two-way  - 1 Module,Charcoal Black,326
C5211 .17,Switch 6A Two-way with indicator - 1 Module,Charcoal Black,499
C5130 .17,Switch 16A One-way - 1 Module,Charcoal Black,387
C5131 .17,Switch 16A One-way with indicator - 1 Module,Charcoal Black,482
C5230 .17,Switch 16A Two-way - 1 Module,Charcoal Black,402
C5231 .17,Switch 16A Two-way with indicator - 1 Module,Charcoal Black,518
C5730 .17,Switch 25A One-way - 1 Module,Charcoal Black,539
C5731 .17,Switch 25A One-way with indicator - 1 Module,Charcoal Black,636
C5310 .17,Switch 6A - Bell - 1 Module,Charcoal Black,335
C5311 .17,Switch 6A - Bell with indicator - 1 Module,Charcoal Black,463
C5140 .17,Palm Switch 6A One-way Single Pole - 2 Module,Charcoal Black,287
C5141 .17,Palm Switch 6A One-way Single Pole with indicator - 2 Module,Charcoal Black,373
C5240 .17,Palm Switch 6A Two-way Single Pole - 2 Module,Charcoal Black,332
C5241 .17,Palm Switch 6A Two-way Single Pole with indicator - 2 Module,Charcoal Black,471
C5160 .17,Palm Switch 16A One-way Single Pole - 2 Module,Charcoal Black,388
C5161 .17,Palm Switch 16A One-way Single Pole with indicator - 2 Module,Charcoal Black,471
C5260 .17,Palm Switch 16A Two-way Single Pole - 2 Module,Charcoal Black,422
C5261 .17,Palm Switch 16A Two-way Single Pole with indicator - 2 Module,Charcoal Black,549
C5180 .17,Palm Switch 6A One-way Double Pole - 2 Module,Charcoal Black,540
C5280 .17,Palm Switch 6A Two-way Double Pole - 2 Module,Charcoal Black,576
C5281 .17,Palm Switch 6A Two-way Double Pole with indicator - 2 Module,Charcoal Black,637
C5191 .17,Palm Switch 16A One-way Double Pole with indicator - 2 Module,Charcoal Black,752
C5291 .17,Palm Switch 16A Two-way Double Pole with indicator - 2 Module,Charcoal Black,894
C5171 .17,Palm Switch 25A One-way Double Pole with indicator - 2 Module,Charcoal Black,897
C5340 .17,Palm Bell Switch Single Pole - 2 Module,Charcoal Black,397
C5341 .17,Palm Bell Switch Single Pole with indicator - 2 Module,Charcoal Black,513
C5441 .17,Switch 16A One-way with ‘Geyser’ Symbol with indicator - 1 Module,Charcoal Black,492
C5431 .17,Switch 6A One-way with ‘Fan’ or ‘Light’ or 'Exhaust' Symbol - 1 Module,Charcoal Black,373
C5110 .20,Switch 6A One-way - 1 Module,Scarlet Red,257
C5111 .20,Switch 6A One-way with indicator - 1 Module,Scarlet Red,362
C5131 .20,Switch 16A One-way with indicator - 1 Module,Scarlet Red,489
C5731 .20,Switch 25A One-way with indicator - 1 Module,Scarlet Red,636
C5171 .20,Palm Switch 25A One-way Double Pole with indicator - 2 Module,Scarlet Red,897
C2110 .01,Twin Switch 6A - 2 Gang - Both switches 1 way - 1 Module,Frost White,498
C2111 .01,Twin Switch 6A - 2 Gang - Both Switches 1 way with indicator - 1 Module,Frost White,730
C2010 .01,Twin Switch 6A - 1 Gang - 2 way + Dummy - 1 Module,Frost White,553
C2011 .01,Twin Switch 6A - 1 Gang - 2 way with indicator + Dummy - 1 Module,Frost White,771
C2130 .01,Twin Switch 16A - 2 Gang - Both switches 1 way - 1 Module,Frost White,797
C2131 .01,Twin Switch 16A - 2 Gang - Both switches 1 way with indicator - 1 Module,Frost White,1002
C2030 .01,Twin Switch 16A - 1 Gang - 2 way + Dummy - 1 Module,Frost White,755
C2031 .01,Twin Switch 16A - 1 Gang - 2 way with indicator + Dummy - 1 Module,Frost White,968
C2140 .01,Twin Switch 6A - 2 Gang - Both Switches Bell - 1 Module,Frost White,756
C2141 .01,Twin Switch 6A - 2 Gang - Both Switches Bell with Indicator - 1 Module,Frost White,998
C2040 .01,Twin Switch 6A - 1 Gang - 1 Bell + 1 Dummy - 1 Module,Frost White,609
C2041 .01,Twin Switch 6A - 1 Gang - 1 Bell with Indicator + 1 Dummy - 1 Module,Frost White,797
C2110 .02,Twin Switch 6A - 2 Gang - Both switches 1 way - 1 Module,Quartz Gray,614
