name,sku,price,description,categories,catalogNumber
"Switch 6A One-way - 1 Module - Frost White","C51100-0001",158,"Switch 6A One-way - 1 Module in Frost White","Building Materials,Electrical","C5110 .01"
"Switch 6A One-way with indicator - 1 Module - Frost White","C51110-0002",254,"Switch 6A One-way with indicator - 1 Module in Frost White","Industrial,Controls","C5111 .01"
"Switch 6A Two-way  - 1 Module - Frost White","C52100-0003",228,"Switch 6A Two-way  - 1 Module in Frost White","Residential,Switches","C5210 .01"
"Switch 6A Two-way with indicator - 1 Module - Frost White","C52110-0004",351,"Switch 6A Two-way with indicator - 1 Module in Frost White","Electrical,Switches","C5211 .01"
"Switch 16A One-way - 1 Module - Frost White","C51300-0005",271,"Switch 16A One-way - 1 Module in Frost White","Electrical,Components","C5130 .01"
"Switch 16A One-way with indicator - 1 Module - Frost White","C51310-0006",342,"Switch 16A One-way with indicator - 1 Module in Frost White","Electrical,Components","C5131 .01"
"Switch 16A Two-way - 1 Module - Frost White","C52300-0007",281,"Switch 16A Two-way - 1 Module in Frost White","Industrial,Controls","C5230 .01"
"Switch 16A Two-way with indicator - 1 Module - Frost White","C52310-0008",364,"Switch 16A Two-way with indicator - 1 Module in Frost White","Industrial,Controls","C5231 .01"
"Switch 25A One-way - 1 Module - Frost White","C57300-0009",379,"Switch 25A One-way - 1 Module in Frost White","Residential,Switches","C5730 .01"
"Switch 25A One-way with indicator - 1 Module - Frost White","C57310-0010",446,"Switch 25A One-way with indicator - 1 Module in Frost White","Commercial,Electrical","C5731 .01"
"Switch 6A - Bell - 1 Module - Frost White","C53100-0011",235,"Switch 6A - Bell - 1 Module in Frost White","Building Materials,Electrical","C5310 .01"
"Switch 6A - Bell with indicator - 1 Module - Frost White","C53110-0012",324,"Switch 6A - Bell with indicator - 1 Module in Frost White","Electrical,Switches","C5311 .01"
"Palm Switch 6A One-way Single Pole - 2 Module - Frost White","C51400-0013",211,"Palm Switch 6A One-way Single Pole - 2 Module in Frost White","Electrical,Components","C5140 .01"
"Palm Switch 6A One-way Single Pole with indicator - 2 Module - Frost White","C51410-0014",273,"Palm Switch 6A One-way Single Pole with indicator - 2 Module in Frost White","Hardware,Switches","C5141 .01"
"Palm Switch 6A Two-way Single Pole - 2 Module - Frost White","C52400-0015",245,"Palm Switch 6A Two-way Single Pole - 2 Module in Frost White","Electrical,Components","C5240 .01"
"Palm Switch 6A Two-way Single Pole with indicator - 2 Module - Frost White","C52410-0016",346,"Palm Switch 6A Two-way Single Pole with indicator - 2 Module in Frost White","Home Automation,Switches","C5241 .01"
"Palm Switch 16A One-way Single Pole - 2 Module - Frost White","C51600-0017",284,"Palm Switch 16A One-way Single Pole - 2 Module in Frost White","Electrical,Switches","C5160 .01"
"Palm Switch 16A One-way Single Pole with indicator - 2 Module - Frost White","C51610-0018",346,"Palm Switch 16A One-way Single Pole with indicator - 2 Module in Frost White","Home Automation,Switches","C5161 .01"
"Palm Switch 16A Two-way Single Pole - 2 Module - Frost White","C52600-0019",311,"Palm Switch 16A Two-way Single Pole - 2 Module in Frost White","Commercial,Electrical","C5260 .01"
"Palm Switch 16A Two-way Single Pole with indicator - 2 Module - Frost White","C52610-0020",405,"Palm Switch 16A Two-way Single Pole with indicator - 2 Module in Frost White","Residential,Switches","C5261 .01"
"Palm Switch 6A One-way Double Pole - 2 Module - Frost White","C51800-0021",397,"Palm Switch 6A One-way Double Pole - 2 Module in Frost White","Commercial,Electrical","C5180 .01"
"Palm Switch 6A Two-way Double Pole - 2 Module - Frost White","C52800-0022",422,"Palm Switch 6A Two-way Double Pole - 2 Module in Frost White","Home Automation,Switches","C5280 .01"
"Palm Switch 6A Two-way Double Pole with indicator - 2 Module - Frost White","C52810-0023",470,"Palm Switch 6A Two-way Double Pole with indicator - 2 Module in Frost White","Commercial,Electrical","C5281 .01"
"Palm Switch 16A One-way Double Pole with indicator - 2 Module - Frost White","C51910-0024",552,"Palm Switch 16A One-way Double Pole with indicator - 2 Module in Frost White","Home Automation,Switches","C5191 .01"
"Palm Switch 16A Two-way Double Pole with indicator - 2 Module - Frost White","C52910-0025",657,"Palm Switch 16A Two-way Double Pole with indicator - 2 Module in Frost White","Residential,Switches","C5291 .01"
"Palm Switch 25A One-way Double Pole with indicator - 2 Module - Frost White","C51710-0026",660,"Palm Switch 25A One-way Double Pole with indicator - 2 Module in Frost White","Hardware,Switches","C5171 .01"
